epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.009327658452093601
,1,,,,0.0328805074095726
,2,,,,0.16164785623550415
,3,,,,0.03209178149700165
,4,,,,0.02153312973678112
0,46,,,0.05349372327327728,
0,46,0.613040030002594,,,
1,49,,0.07109114527702332,,
,5,,,,0.002181579126045108
,6,,,,0.01301638875156641
,7,,,,0.019624104723334312
,8,,,,0.0008993573137558997
,9,,,,0.0016175656346604228
1,93,,,0.00785781443119049,
1,93,0.02578422799706459,,,
2,99,,0.01963055692613125,,
,10,,,,0.0014493573689833283
,11,,,,0.010787324979901314
,12,,,,0.00582104129716754
,13,,,,0.00019477175374049693
,14,,,,0.0007674405933357775
2,140,,,0.004006423521786928,
2,140,0.007789658382534981,,,
3,149,,0.0009433676023036242,,
,15,,,,0.0005932669737376273
,16,,,,0.0008417616481892765
,17,,,,0.008369868621230125
,18,,,,0.00174708419945091
,19,,,,0.0004270092467777431
3,187,,,0.0025270506739616394,
3,187,0.0030610263347625732,,,
4,199,,0.0024393899366259575,,
,20,,,,0.0003521937469486147
,21,,,,0.0002780930371955037
,22,,,,0.002554783131927252
,23,,,,0.0005325921811163425
,24,,,,0.0005659329472109675
4,234,,,0.0008761047502048314,
4,234,0.002655863994732499,,,
5,249,,0.0007451193523593247,,
,25,,,,0.00026145740412175655
,26,,,,0.00039650246617384255
,27,,,,0.0020672506652772427
,28,,,,0.0004082118975929916
,29,,,,0.00023520037939306349
5,281,,,0.0007029594853520393,
5,281,0.0032744009513407946,,,
6,299,,0.0005383345996960998,,
,30,,,,0.00015535898273810744
,31,,,,0.00019578321371227503
,32,,,,0.0027134267147630453
,33,,,,0.00015451188664883375
,34,,,,0.0004469309642445296
6,328,,,0.0007522870437242091,
6,328,0.0007895692833699286,,,
7,349,,0.0008984687156043947,,
,35,,,,0.00034749985206872225
,36,,,,0.0017646574415266514
,37,,,,0.0014273199485614896
,38,,,,0.00011892005568370223
,39,,,,0.0001404197100782767
7,375,,,0.0008010529563762248,
7,375,0.002834295853972435,,,
8,399,,0.0005762934451922774,,
,40,,,,9.95680529740639e-05
,41,,,,5.604828038485721e-05
,42,,,,0.010584105737507343
,43,,,,5.657969450112432e-05
,44,,,,0.00017366217798553407
8,422,,,0.0023286815267056227,
8,422,0.0022986060939729214,,,
9,449,,0.004294261336326599,,
,45,,,,0.0003890998486895114
,46,,,,0.00014207401545718312
,47,,,,0.0012950673699378967
,48,,,,0.00014826767437625676
,49,,,,4.860225453739986e-05
9,469,,,0.0004283568705432117,
